Agency Name,Longitude,Latitude
Salt & Sea Mission Church Inc.,-73.983509,40.588543
Christ and St. Stephen's Food Pantry,-73.981033,40.775698
Dewitt Reformed Church,-73.979588,40.717515
Black Veterans for Social Justice,-73.942564,40.694756
CCNS-BFFY @ Our Lady of Solace,-73.985046,40.577269
Creston Avenue Baptist Church,-73.899158,40.861836
BFFY - Our Lady of Lourdes Outreach,-73.736316,40.722926
Christian Cultural Center,-73.907749,40.653701
St. Nicholas of Tolentine Church- FP,-73.809607,40.718417
St. Peter's Food Pantry,-74.001919,40.744145
Stuyvesant Heights Christian Church,-73.943729,40.681129
The Salvation Army New York Temple,-73.998551,40.737914
Northeast Brooklyn Social Services,-73.94275,40.691349
Esther Grunblat Center of Central Queens,-73.847941,40.730134
Chambers Memorial Baptist Church,-73.935931,40.802155
"Family Services Network of NY, Inc.",-73.909222,40.684121
Oneg Shabbos,-73.980622,40.635518
Full Gospel Tabernacle Food Pantry,-73.773918,40.595141
Bethel Prayer Ministries,-73.895364,40.847933
CCNS-Our Lady of Miracles-Canarsie Cluster Center,-73.909225,40.638814
National Comm. For Furtherance of Jewish Ed.,-73.941023,40.668957
Teen Challenge,-73.968247,40.685789
Rescue Ministry,-74.132405,40.640429
St. James Holiness Church,-73.917659,40.66676
Fernande Valme Ministries Inc.,-73.9579,40.64315
Richmond Hill SDA Community,-73.834438,40.698349
King Emmanuel Community Services,-73.92892,40.681319
St. Raphael RC Church Food Pantry,-73.93085,40.737306
Urban Strategies Inc,-73.914419,40.660255
The Salvation Army Stapleton,-74.075556,40.625686
The Salvation Army Stapleton,-74.075556,40.625686
Linden SDA Church Community Services,-73.743826,40.673133
St. Teresa Church Saint Vincent DePaul Society,-73.92104,40.737001
Part of the Solution,-73.886561,40.865744
Part of the Solution (POTS),-73.886561,40.865744
Community Health Action of Staten Island Inc.,-74.134308,40.640206
Bronx Food Pantry and Food Hub,-73.916579,40.818087
Southside United HDFC Inc,-73.961539,40.712446
Reaching Out Community Service,-74.000635,40.613976
Project Hospitality Inc.,-74.132403,40.635049
Christ Disciples International Ministries,-73.879376,40.869918
Project Hope Charities,-73.769942,40.671112
Department of Probation Bronx Office,-73.920907,40.826141
